track_id,track_name,artists,popularity,tempo,energy,danceability,loudness,valence,acousticness,instrumentalness,liveness,speechiness,duration_ms,key,mode,time_signature
spotify:track:0000000000000000,Track_0000,Artist_000,35,65.67601265040958,0.5194078810779965,0.6264683590590777,-5.792130204904,0.22382506363392005,0.27425094138132583,0.01403079575698105,0.322102861361019,0.014134903427784049,230979,7,0,4
spotify:track:0000000000000001,Track_0001,Artist_001,24,111.5931545370373,0.5095777399447164,0.596136412042973,-13.484622273308952,0.31774793076940233,0.04049576462663783,0.00041758517738638194,0.16472973006214922,0.2910686226774913,219978,0,1,4
spotify:track:0000000000000002,Track_0002,Artist_002,41,103.23845238438041,0.6168321281325919,0.41786684826602605,0.0,0.477642476734321,0.11830401115350385,0.017954418159216536,0.21061138058049192,0.12237585032209791,172829,0,0,4
spotify:track:0000000000000003,Track_0003,Artist_003,15,116.25432278677482,0.970459780870301,0.5964221433758761,-0.8794157350515919,0.5367268288916599,0.1538849542428642,0.04516450086270992,0.12647470944579284,0.2180131776680928,266689,11,1,4
spotify:track:0000000000000004,Track_0004,Artist_004,55,142.5460026345998,0.5663138098185115,0.5863068472676268,-5.571382635488918,0.677792704495069,0.4264755639706518,0.020762472082734015,0.23540212601571014,0.03386632611065119,338906,10,1,4
spotify:track:0000000000000005,Track_0005,Artist_005,11,65.10288416509815,0.4145833190312721,0.837257486412254,-7.865813191274351,0.6088306786554165,0.16714661473474818,0.020527002171502714,0.3464153277127356,0.07866330209083988,189231,3,0,4
spotify:track:0000000000000006,Track_0006,Artist_006,50,126.904959660216,0.7234140414245089,0.6058540659938441,-10.945847475111453,0.5361750339357811,0.10579432757806037,0.019657626790599687,0.06576517047977819,0.20354878925895398,264171,9,1,4
spotify:track:0000000000000007,Track_0007,Artist_007,17,104.86213323752865,0.3850439638663122,0.5891021102262696,-6.545943433684316,0.31205059006027336,0.17213695056832318,0.025876416738820216,0.1749502504887693,0.09412112666071196,60000,8,1,4
spotify:track:0000000000000008,Track_0008,Artist_008,19,132.92010358052104,0.79055499342596,0.4844830356976772,0.0,0.6178424532956046,0.33565235870512017,0.02557441127693699,0.05350724861362489,0.049420065733442216,247163,7,1,4
spotify:track:0000000000000009,Track_0009,Artist_009,37,143.97304392065666,0.7543546323792234,0.16473577419757063,-3.9122181003591145,0.32452411991388525,0.11929721251387772,0.04423805376273813,0.1800271612612182,0.09637291310646195,285570,7,1,4
spotify:track:000000000000000a,Track_0010,Artist_010,54,99.13439549389786,0.6816117270251931,0.6282136722272166,-1.6542093205909287,0.3384996589154989,0.31890902795061266,0.05472046739651994,0.21947471913845804,0.10282920163351811,188034,5,1,3
spotify:track:000000000000000b,Track_0011,Artist_011,8,78.92393999746525,0.24770838268298037,0.3819809808378541,-7.3116248752261335,0.521621331492344,0.02050734274949289,0.0053635171367669284,0.27399132094499873,0.08730973655077451,91567,2,1,4
spotify:track:000000000000000c,Track_0012,Artist_012,35,110.86797179644498,0.22795940962311756,0.44238155757293474,-3.5198694133425548,0.7292432466994145,0.03868588917131594,0.205305535319592,0.388348208659098,0.08649187201676345,245685,4,1,4
spotify:track:000000000000000d,Track_0013,Artist_013,27,158.61204535143517,0.6810358125138668,0.6932701726945604,-7.553636093118859,0.4714845157050679,0.030142328917189435,0.05202415117267369,0.12785672088534497,0.05862677331625466,232272,5,0,5
spotify:track:000000000000000e,Track_0014,Artist_014,13,145.06971753546813,0.6428608186831621,0.29727399612758043,-5.1032639059447416,0.5511689131379567,0.2957230760505726,0.06070746326489766,0.19715988206859003,0.11106462042707048,251581,1,0,3
spotify:track:000000000000000f,Track_0015,Artist_015,35,108.67131535208087,0.8284386080323367,0.4160849472790841,0.0,0.3774915731771341,0.15045872824062181,0.07605383994175652,0.16200364343818477,0.04520114388272018,221177,8,1,4
spotify:track:0000000000000010,Track_0016,Artist_016,13,100.95482627133228,0.7426278886162486,0.6823838217315212,-10.007945458364029,0.43472864888829815,0.15337654832754272,0.013806942466358062,0.07539681725579023,0.1942369362104925,226978,4,0,4
spotify:track:0000000000000011,Track_0017,Artist_017,32,103.21951560587048,0.8920508518216085,0.6192297682167596,0.0,0.4708381546765859,0.4859663930816001,0.015089692533266062,0.15987095139605056,0.07512869042489811,137657,7,0,4
spotify:track:0000000000000012,Track_0018,Artist_018,16,81.07123388457524,0.619123142581256,0.278158503912811,-1.728448503989494,0.42995432050557514,0.16633614686856302,0.016306980552188953,0.2315098753125157,0.19546762475564983,254897,5,1,4
spotify:track:0000000000000013,Track_0019,Artist_019,20,143.54322091580724,0.39726670925903235,0.497088588268665,0.0,0.37971031291630597,0.2966049225612481,0.006114774487830928,0.24207843552779906,0.05650864076055954,312765,10,0,4
spotify:track:0000000000000014,Track_0020,Artist_020,26,149.02249053584072,0.5693867020640373,0.28930308846261316,-6.6442409407218435,0.6323852867876067,0.04450015550033613,0.008984069035259015,0.21361263007805498,0.030012633557099256,140628,1,1,4
spotify:track:0000000000000015,Track_0021,Artist_021,39,108.38587270048254,0.4117517001617476,0.3949091061224985,-17.496031275898424,0.521381114346578,0.16258532911694956,0.05637377093438588,0.31286311338616773,0.09441714857034711,205138,0,1,4
spotify:track:0000000000000016,Track_0022,Artist_022,15,104.97955800573385,0.6321994102709868,0.6260414221025141,-15.904183493005371,0.4425771451536084,0.2908208489567279,0.11537290223794254,0.04393768748184517,0.07403763142187839,166264,6,1,4
